,0
198,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-64-install.exe
199,https://portableapps.com/apps/graphics_pictures/krita-portable//support/antivirus?n=Krita Portable&a=KritaPortable&v=5.2.2&f=KritaPortable_5.2.2.paf.exe&h=9dea80133da0a167d9af2cdf79bc03fcf9dea19e79bbed61e79fc0d3c9bff8b1
200,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortableLegacyWinXP&s=s&p=&d=pa&n=Stellarium%20Portable&f=StellariumPortableLegacyWinXP_0.13.3.paf.exe
201,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
202,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
203,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
204,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
205,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeysPro_x64_setup.exe
206,https://pspad.poradna.net/release/pspad507_setup.exe
207,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4Sure64Setup.exe
208,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
209,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-install.exe
210,https://portableapps.com/apps/graphics_pictures/krita-portable//downloading/?a=KritaPortableLegacyWin7x64&s=s&p=&d=pa&n=Krita%20Portable&f=KritaPortableLegacyWin7x64_5.0.6.paf.exe
211,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortable&s=s&p=&d=pa&n=Stellarium Portable&f=StellariumPortable_24.1.0.paf.exe
212,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
213,https://portableapps.com/apps/utilities/sumo-portable//downloading/?a=SUMoPortable&s=s&p=&d=pa&n=SUMo Portable (Discontinued)&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe
214,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
215,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
216,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeysPro_x64_setup.exe
217,https://pspad.poradna.net/release/pspad507_x64_setup.exe
218,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4SureSetup.exe
219,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
220,https://www.sumatrapdfreader.org/download-free-pdf-viewer//dl/rel/3.5.2/SumatraPDF-3.5.2-64-install.exe
221,https://portableapps.com/apps/graphics_pictures/krita-portable//support/antivirus?n=Krita Portable&a=KritaPortable&v=5.2.2&f=KritaPortable_5.2.2.paf.exe&h=9dea80133da0a167d9af2cdf79bc03fcf9dea19e79bbed61e79fc0d3c9bff8b1
222,https://portableapps.com/apps/education/stellarium_portable//downloading/?a=StellariumPortable&s=s&p=&d=pa&n=Stellarium Portable&f=StellariumPortable_24.1.0.paf.exe
223,https://openmpt.org/download_file.php?file=OpenMPT-1.31.13.00-Setup.exe
224,https://portableapps.com/apps/utilities/sumo-portable//support/antivirus?n=SUMo Portable (Discontinued)&a=SUMoPortable&v=5.17.10.542 Discontinued&f=SUMoPortable_5.17.10.542_Discontinued_English.paf.exe&h=6d4ebe2beb331cf25ead5d8eed1dbc3229733cce95aefea5dd4186327adf3b0e
225,https://www.microsystools.com/products/launcher///products/launcher/launcher-setup.exe
226,https://aprelium.com/abyssws/download.php//data/abwsx1.exe
227,https://www.deeproot.co.uk/extrakeys_downloads.html/downloads/ExtraKeys_x64_setup.exe
228,https://pspad.poradna.net/release/pspad507_x64_setup.exe
229,https://ukrebs-software.de/english/back4sure/download.html/../../download/back4sure/Back4Sure64Setup.exe
230,https://executor.dk/download/downloads/ExecutorSetup9912-32bit.exe
